qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
FB:03:0D:7A:F4:19,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:09.651618Z
F8:7A:45:26:A6:9A,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:09.652617Z
EA:79:1A:CC:8E:E9,2.9,2900,GOOD,GOOD,70.0,True,-70,RSSI -70 | Battery 2.9V,2025-09-17T20:17:09.657617Z
C1:4A:14:11:33:CF,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:09.658772Z
E8:BC:D1:D3:90:62,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:09.660796Z
DD:8A:5D:62:88:CE,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:09.668723Z
CB:D6:73:90:D4:FD,2.9,2900,GOOD,GOOD,70.0,True,-67,RSSI -67 | Battery 2.9V,2025-09-17T20:17:09.669158Z
D3:93:13:45:E9:33,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-17T20:17:09.669737Z
E5:FC:05:96:23:AA,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:09.673758Z
D1:12:7B:B4:01:82,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-17T20:17:09.674760Z
DE:D9:7D:10:F8:9C,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:09.684760Z
D2:D7:67:4D:37:D6,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:09.691668Z
